sample_id,alignment_count,aligned,partially_aligned,relevant_unresolved,internal_unresolved,aligned_paths,runtime_only_paths,instruction_only_paths
BV3-0339,977,252,0,288,437,0,2,1
BV3-0340,1968,625,0,899,444,0,2,1
BV3-0341,1190,320,7,410,453,0,1,1
BV3-0342,1005,255,2,310,438,2,39,1
BV3-0343,972,249,0,286,437,0,2,1
BV3-0344,923,240,1,247,435,0,2,1
BV3-0345,1014,257,0,318,439,0,2,1
BV3-0346,972,249,0,286,437,0,2,1
BV3-0347,1528,456,0,617,455,0,1,3
BV3-0348,1243,334,0,454,455,0,1,1
BV3-0349,1342,394,0,495,453,0,1,1
BV3-0350,1209,326,0,444,439,0,2,1
BV3-0351,977,252,0,288,437,0,2,1
BV3-0352,973,249,0,287,437,0,2,1
BV3-0353,914,236,1,228,449,0,1,1
BV3-0354,1004,255,2,309,438,2,39,1
BV3-0355,1020,256,0,324,440,0,2,1
BV3-0356,972,249,0,286,437,0,2,1
BV3-0357,1005,255,0,312,438,0,2,1
BV3-0358,972,249,0,286,437,0,2,1
BV3-0359,1192,321,7,411,453,0,1,2
BV3-0360,1484,404,0,620,460,0,1,1
BV3-0361,1338,393,0,492,453,0,1,1
BV3-0362,1145,296,0,410,439,0,2,1
BV3-0363,1031,258,2,332,439,2,42,1
BV3-0364,954,247,0,271,436,0,2,1
BV3-0365,1140,288,0,412,440,0,2,1
BV3-0366,1004,255,0,311,438,0,2,1
BV3-0367,993,253,0,301,439,0,2,1
BV3-0368,1004,255,2,309,438,2,39,1
BV3-0369,978,252,0,289,437,0,2,1
BV3-0370,1137,290,0,406,441,0,2,1
BV3-0371,1004,255,0,311,438,0,2,1
BV3-0372,1003,255,1,309,438,0,2,1
BV3-0373,1079,266,2,368,443,2,54,1
BV3-0374,1204,327,0,438,439,0,2,1
BV3-0375,1030,258,1,332,439,0,2,1
BV3-0376,1066,270,2,355,439,2,42,1
BV3-0377,998,252,0,308,438,0,2,1
BV3-0378,1000,254,1,307,438,0,2,1
BV3-0379,1028,258,2,329,439,2,42,1
BV3-0380,1000,252,0,310,438,0,2,1
BV3-0381,1037,259,2,336,440,2,45,1
BV3-0382,1004,255,2,309,438,2,39,1
BV3-0383,1004,255,2,309,438,2,39,1
BV3-0384,1004,255,2,309,438,2,39,1
BV3-0385,1020,256,2,322,440,2,45,0
BV3-0386,1065,263,2,358,442,2,51,1
BV3-0387,1004,255,2,309,438,2,39,1
BV3-0388,1004,255,2,309,438,2,39,1
BV3-0389,1004,255,2,309,438,2,39,1
BV3-0390,1031,258,2,332,439,2,42,1
BV3-0391,1005,255,2,310,438,2,39,1
BV3-0392,757,217,0,109,431,0,12,5
BV3-0393,1005,255,2,310,438,2,39,1
BV3-0394,1023,257,2,325,439,2,42,1
BV3-0395,992,252,2,300,438,2,39,0
BV3-0396,1004,255,2,309,438,2,39,1
BV3-0397,1004,255,2,309,438,2,39,1
BV3-0398,1004,255,2,309,438,2,39,1
BV3-0399,1005,255,2,310,438,2,39,1
BV3-0400,981,250,2,292,437,2,36,0
BV3-0401,953,244,1,270,438,0,1,2
BV3-0402,917,239,1,241,436,0,1,2
BV3-0403,837,238,1,152,446,0,1,2
BV3-0404,945,244,1,262,438,0,1,2
BV3-0405,1765,547,27,733,458,0,1,5
BV3-0406,959,244,1,263,451,0,1,2
BV3-0407,951,244,1,255,451,0,1,2
BV3-0408,939,241,1,260,437,0,1,2
BV3-0409,919,239,1,243,436,0,1,2
BV3-0410,961,246,1,275,439,0,1,2
BV3-0411,921,239,1,245,436,0,1,2
BV3-0412,773,219,1,108,445,0,12,2
BV3-0413,1093,320,7,317,449,0,1,2
BV3-0414,931,249,1,231,450,0,1,3
BV3-0415,943,242,1,263,437,0,1,2
BV3-0416,1037,276,3,322,436,0,1,2
BV3-0417,1173,321,7,406,439,0,1,2
BV3-0418,933,241,1,241,450,0,1,5
BV3-0419,959,244,1,263,451,0,1,2
BV3-0420,1157,299,7,397,454,0,1,2
BV3-0421,755,217,1,106,431,0,11,2
BV3-0422,921,239,1,245,436,0,1,2
BV3-0423,1237,336,5,456,440,0,1,3
BV3-0424,953,244,1,270,438,0,1,2
BV3-0425,1193,324,7,409,453,0,1,2
BV3-0426,844,228,1,182,433,0,1,2
BV3-0427,945,244,1,262,438,0,1,2
BV3-0428,1203,326,7,429,441,0,1,2
BV3-0430,1048,281,3,328,436,0,1,2
BV3-0431,951,244,1,255,451,0,1,5
BV3-0432,1071,280,3,337,451,0,1,3
BV3-0433,937,241,1,245,450,0,1,2
BV3-0434,963,246,1,277,439,0,1,2
BV3-0435,1173,321,7,406,439,0,1,2
BV3-0436,943,242,1,263,437,0,1,2
BV3-0437,925,240,1,248,436,0,1,2
BV3-0438,821,233,1,128,459,0,11,2
BV3-0439,919,241,1,240,437,0,1,2
BV3-0440,923,240,1,246,436,0,1,2
BV3-0441,917,239,1,241,436,0,1,3
BV3-0442,921,239,1,245,436,0,1,2
BV3-0443,943,242,1,263,437,0,1,2
BV3-0444,915,239,1,226,449,0,1,5
BV3-0445,915,239,1,226,449,0,1,2
BV3-0446,951,244,1,255,451,0,1,2
BV3-0447,921,239,1,245,436,0,1,2
BV3-0448,894,234,1,224,435,0,1,1
BV3-0449,859,252,3,174,430,0,8,1
BV3-0450,914,238,1,238,437,0,1,1
BV3-0451,924,238,1,235,450,0,1,1
BV3-0452,940,241,1,260,438,0,1,1
BV3-0453,757,217,1,108,431,0,12,1
BV3-0454,969,290,7,241,431,0,12,1
BV3-0455,737,213,1,94,429,0,6,1
BV3-0456,737,213,1,94,429,0,6,1
BV3-0457,1295,366,11,464,454,0,1,2
BV3-0458,1141,313,7,370,451,0,1,1
BV3-0459,1299,364,11,470,454,0,1,1
BV3-0460,1152,315,7,392,438,0,1,1
BV3-0461,1695,551,23,683,438,0,1,1
BV3-0462,1125,312,7,369,437,0,1,1
BV3-0463,886,234,1,216,435,0,1,1
BV3-0464,946,241,1,253,451,0,1,1
BV3-0465,1067,284,5,340,438,0,1,1
BV3-0466,877,254,3,189,431,0,11,1
BV3-0467,1484,463,17,566,438,0,44,1
BV3-0468,1266,326,19,482,439,0,1,1
BV3-0469,1446,453,17,538,438,0,40,1
BV3-0470,1287,364,11,459,453,0,1,2
BV3-0471,1205,328,7,417,453,0,1,1
BV3-0472,910,236,1,224,449,0,1,1
BV3-0473,1605,508,21,636,440,0,50,1
BV3-0474,920,237,1,246,436,0,1,1
BV3-0475,896,234,1,227,434,0,2,1
BV3-0476,894,234,1,224,435,0,1,1
BV3-0477,936,239,1,246,450,0,1,1
BV3-0478,3233,1205,63,1516,449,0,1,1
BV3-0479,867,252,3,182,430,0,8,1
BV3-0480,1095,308,7,344,436,0,1,1
BV3-0481,887,256,3,196,432,0,14,1
BV3-0482,877,254,3,189,431,0,11,1
BV3-0483,1175,320,7,394,454,0,1,2
BV3-0484,1291,363,11,464,453,0,1,1
BV3-0485,865,252,3,167,443,0,5,1
BV3-0486,1510,465,21,583,441,0,1,1
BV3-0487,1137,313,7,380,437,0,1,1
BV3-0488,1284,364,11,469,440,0,1,1
BV3-0489,928,238,1,252,437,0,1,1
BV3-0490,753,215,1,94,443,0,6,1
BV3-0491,902,235,1,231,435,0,1,1
BV3-0493,1582,506,21,617,438,0,48,1
BV3-0494,904,236,1,231,436,0,1,1
BV3-0495,757,217,1,108,431,0,12,1
BV3-0496,946,241,1,253,451,0,1,2
BV3-0497,1319,367,11,487,454,0,1,1
BV3-0498,1174,318,7,396,453,0,1,1
BV3-0509,1165,318,7,387,453,0,1,2
BV3-0510,1048,280,5,313,450,0,1,1
BV3-0511,1103,282,3,364,454,0,1,1
BV3-0512,928,239,1,251,437,0,1,1
BV3-0514,1231,356,11,427,437,0,1,1
BV3-0515,1277,361,11,466,439,0,1,1
BV3-0516,1152,316,7,377,452,0,1,1
BV3-0522,903,258,3,196,446,0,14,3
BV3-0523,1268,360,11,445,452,0,1,1
BV3-0524,910,236,1,224,449,0,1,1
BV3-0525,1121,311,7,366,437,0,1,1
BV3-0526,1229,355,11,426,437,0,1,1
BV3-0527,1148,314,7,389,438,0,1,1
BV3-0528,1097,307,7,347,436,0,1,1
BV3-0529,1709,552,23,680,454,0,58,1
BV3-0530,902,235,1,231,435,0,1,1
