sample_id,alignment_count,aligned,partially_aligned,relevant_unresolved,internal_unresolved,aligned_paths,runtime_only_paths,instruction_only_paths
PB-329,757,217,0,109,431,0,12,1
PB-330,904,238,1,231,434,0,2,1
PB-331,1023,257,0,327,439,0,2,1
PB-332,1329,375,0,513,441,0,2,1
PB-333,1892,607,0,825,460,0,1,3
PB-334,1467,424,0,587,456,0,1,1
PB-335,1774,575,0,744,455,0,1,1
PB-336,1477,426,0,610,441,0,2,1
PB-337,977,252,0,288,437,0,2,1
PB-338,1968,625,0,899,444,0,2,1
PB-339,1190,320,7,410,453,0,1,1
PB-340,1005,255,2,310,438,2,39,1
PB-341,972,249,0,286,437,0,2,1
PB-342,923,240,1,247,435,0,2,1
PB-343,1014,257,0,318,439,0,2,1
PB-344,972,249,0,286,437,0,2,1
PB-345,1528,456,0,617,455,0,1,3
PB-346,1243,334,0,454,455,0,1,1
PB-347,1342,394,0,495,453,0,1,1
PB-348,1209,326,0,444,439,0,2,1
PB-349,977,252,0,288,437,0,2,1
PB-350,973,249,0,287,437,0,2,1
PB-351,914,236,1,228,449,0,1,1
PB-352,1004,255,2,309,438,2,39,1
PB-353,1020,256,0,324,440,0,2,1
PB-354,972,249,0,286,437,0,2,1
PB-355,1005,255,0,312,438,0,2,1
PB-356,972,249,0,286,437,0,2,1
PB-357,1192,321,7,411,453,0,1,2
PB-358,1484,404,0,620,460,0,1,1
PB-359,1338,393,0,492,453,0,1,1
PB-360,1145,296,0,410,439,0,2,1
PB-361,1031,258,2,332,439,2,42,1
PB-362,954,247,0,271,436,0,2,1
PB-363,1140,288,0,412,440,0,2,1
PB-364,1004,255,0,311,438,0,2,1
PB-365,993,253,0,301,439,0,2,1
PB-366,1004,255,2,309,438,2,39,1
PB-367,978,252,0,289,437,0,2,1
PB-368,1137,290,0,406,441,0,2,1
PB-369,1004,255,0,311,438,0,2,1
PB-370,1003,255,1,309,438,0,2,1
PB-371,1079,266,2,368,443,2,54,1
PB-372,1204,327,0,438,439,0,2,1
PB-373,1030,258,1,332,439,0,2,1
PB-374,1066,270,2,355,439,2,42,1
PB-375,998,252,0,308,438,0,2,1
PB-376,1000,254,1,307,438,0,2,1
PB-377,1028,258,2,329,439,2,42,1
PB-378,1000,252,0,310,438,0,2,1
PB-379,1037,259,2,336,440,2,45,1
PB-380,1004,255,2,309,438,2,39,1
PB-381,1004,255,2,309,438,2,39,1
PB-382,1004,255,2,309,438,2,39,1
PB-383,1020,256,2,322,440,2,45,0
PB-384,1065,263,2,358,442,2,51,1
PB-385,1004,255,2,309,438,2,39,1
PB-386,1004,255,2,309,438,2,39,1
PB-387,1004,255,2,309,438,2,39,1
PB-388,1031,258,2,332,439,2,42,1
PB-389,1005,255,2,310,438,2,39,1
PB-390,757,217,0,109,431,0,12,5
PB-391,1005,255,2,310,438,2,39,1
PB-392,1023,257,2,325,439,2,42,1
PB-393,992,252,2,300,438,2,39,0
PB-394,1004,255,2,309,438,2,39,1
PB-395,1004,255,2,309,438,2,39,1
PB-396,1004,255,2,309,438,2,39,1
PB-397,1005,255,2,310,438,2,39,1
PB-398,981,250,2,292,437,2,36,0
PB-399,953,244,1,270,438,0,1,2
PB-400,917,239,1,241,436,0,1,2
PB-401,837,238,1,152,446,0,1,2
PB-402,945,244,1,262,438,0,1,2
PB-403,1765,547,27,733,458,0,1,5
PB-404,959,244,1,263,451,0,1,2
PB-405,951,244,1,255,451,0,1,2
PB-406,939,241,1,260,437,0,1,2
PB-407,919,239,1,243,436,0,1,2
PB-408,961,246,1,275,439,0,1,2
PB-409,921,239,1,245,436,0,1,2
PB-410,773,219,1,108,445,0,12,2
PB-411,1093,320,7,317,449,0,1,2
PB-412,931,249,1,231,450,0,1,3
PB-413,943,242,1,263,437,0,1,2
PB-414,1037,276,3,322,436,0,1,2
PB-415,1173,321,7,406,439,0,1,2
PB-416,933,241,1,241,450,0,1,5
PB-417,959,244,1,263,451,0,1,2
PB-418,1157,299,7,397,454,0,1,2
PB-419,755,217,1,106,431,0,11,2
PB-420,921,239,1,245,436,0,1,2
PB-421,1237,336,5,456,440,0,1,3
PB-422,953,244,1,270,438,0,1,2
PB-423,1193,324,7,409,453,0,1,2
PB-424,844,228,1,182,433,0,1,2
PB-425,945,244,1,262,438,0,1,2
PB-426,1203,326,7,429,441,0,1,2
PB-427,1048,281,3,328,436,0,1,2
PB-428,951,244,1,255,451,0,1,5
PB-429,1071,280,3,337,451,0,1,3
PB-430,937,241,1,245,450,0,1,2
PB-431,963,246,1,277,439,0,1,2
PB-432,1173,321,7,406,439,0,1,2
PB-433,943,242,1,263,437,0,1,2
PB-434,925,240,1,248,436,0,1,2
PB-435,821,233,1,128,459,0,11,2
PB-436,919,241,1,240,437,0,1,2
PB-437,923,240,1,246,436,0,1,2
PB-438,917,239,1,241,436,0,1,3
PB-439,921,239,1,245,436,0,1,2
PB-440,943,242,1,263,437,0,1,2
PB-441,915,239,1,226,449,0,1,5
PB-442,915,239,1,226,449,0,1,2
PB-443,951,244,1,255,451,0,1,2
PB-444,921,239,1,245,436,0,1,2
PB-445,894,234,1,224,435,0,1,1
PB-446,859,252,3,174,430,0,8,1
PB-447,914,238,1,238,437,0,1,1
PB-448,924,238,1,235,450,0,1,1
PB-449,940,241,1,260,438,0,1,1
PB-450,757,217,1,108,431,0,12,1
